#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
gltD|97	1	72	2	71	98.6111	0.986111	33	15.5
gltD|68	1	74	1	74	100	2	31.2	3
slr1315|77	1	75	2	74	98.6667	0.986667	32.7	5.5
fhuA3|72	1	73	1	73	100	1.9863	31.8	23
fhuA3|178	1	71	1	71	100	1	33.1	24
fhuA3|167	1	74	1	74	100	1	32.9	39
sll1399|117	1	74	1	74	100	1	30.4	0
sll1399|69	1	76	2	76	100	1	33	21
sll1399|31	1	71	1	71	100	2	33.2	24
sll1399|46	1	76	1	76	100	1	29.6	8
pchR1|34	1	75	1	75	100	1	32	0
pchR1|301	1	72	1	72	100	1	33.6	23
ssl2069|190	1	71	1	71	100	1	32.6	8
ssl2069|43	1	74	1	74	100	1	30.1	23
ssl2069|114	1	72	1	72	100	1	33.5	23
sll1396|158	1	76	1	75	98.6842	0.986842	31.9	0
cpcF|129	1	76	4	75	98.6842	0.986842	31.9	10.5
cpcF|197	1	73	2	73	100	3.9726	32.5	11.5
cpcF|73	1	74	1	74	100	1.95946	31.4	3
sll1392|77	1	72	2	72	100	1	32.1	5.5
malQ|119	1	74	1	74	100	1.98649	32.7	0
malQ|32	1	71	2	71	100	1	32.9	3
slr1593|64	1	71	2	71	100	2.98592	31.3	23.5
slr1593|127	1	75	2	75	100	1	31.6	11.5
slr1592|106	1	72	1	72	100	2	33.3	3
slr1592|130	1	76	2	74	97.3684	0.973684	31.2	3
slr1592|94	1	71	2	71	100	2	32.8	4
slr1592|16	1	72	1	72	100	1.98611	33.4	8
slr1592|29	1	73	1	73	100	1	34.3	24
slr1591|68	1	72	1	72	100	1	32.8	23
slr1590|32	1	75	1	75	100	1	32.5	0
slr1597|124	1	74	1	74	100	1	31.7	8
slr1597|70	1	71	1	71	100	1	34	42
ubiH|52	1	72	1	72	100	1	31.9	23
sll0649|70	1	76	1	76	100	1	32	0
sll1020|217	1	72	1	72	100	1	33.3	0
sll1020|54	1	73	1	72	98.6301	0.986301	32.9	3
sll0644|10	1	75	1	73	97.3333	0.973333	32.3	23
sll0644|39	1	71	1	70	98.5915	0.985915	29	24
sll0644|82	1	74	1	74	100	1	32.3	3
sll0644|24	1	75	16	75	100	1	33.1	2.56
sll1022|115	1	71	1	71	100	16	33.3	23
sll1025|31	1	74	1	74	100	1	31.8	8
sll1024|90	1	76	1	75	98.6842	0.986842	32.4	23
sll0641|35	1	72	3	72	100	1	30.3	9.33
sll0641|101	1	74	1	74	100	3	31.7	8
sll0641|19	1	72	1	71	98.6111	0.986111	33.8	8
slr1762|54	1	73	1	73	100	1	31.8	3
slr1762|77	1	72	1	72	100	1	33.9	8
envM|146	1	71	2	71	100	1	32.8	4
envM|133	1	72	1	72	100	2	33.3	23
ycf45|137	1	76	1	74	97.3684	0.973684	30.1	0
ycf45|94	1	74	1	74	100	1	32.4	8
sll0943|58	1	73	1	73	100	1	29	23
sufA|103	1	73	1	73	100	1	33.3	0
gerCb|164	1	72	1	72	100	1	31.7	24
gerCb|124	1	71	1	71	100	1	31.4	3
slr1594|200	1	75	1	75	100	1	32.4	0
slr1043|66	1	72	1	72	100	1	27.9	3
HAGH1|44	1	74	1	73	98.6486	0.986486	34.4	3
HAGH1|59	1	74	3	73	98.6486	0.986486	30.3	24.3
slr0980|208	1	74	1	74	100	2.97297	31.9	8
Sac1|154	1	76	1	76	100	1	32.6	24
slr1062|123	1	75	1	74	98.6667	0.986667	30.5	3
slr1062|50	1	75	1	75	100	1	31.7	23
sll0647|4	1	75	2	74	98.6667	0.986667	31.6	23.5
sll0647|28	1	74	2	74	100	2	32.5	8
slr1306|71	1	75	3	75	100	1.98667	30.3	5.33
slr1306|103	1	72	1	72	100	3	32.6	23
slr1307|95	1	71	4	71	100	1	32.8	10.5
slr1305|7	1	72	1	72	100	4	32.8	24
slr1305|31	1	71	1	71	100	1	33.4	36
slr1302|85	1	75	1	75	100	1	32.4	3
slr1302|3	1	76	4	76	100	1	32.1	21
slr1302|17	1	76	1	76	100	3.94737	31.6	23
slr1302|100	1	71	1	71	100	1	33.1	8
slr1302|65	1	74	1	74	100	1	31.5	3
slr1303|78	1	75	2	74	98.6667	0.986667	32.7	6
slr1303|26	1	73	2	73	100	2	33.8	21.5
slr1301|76	1	72	1	72	100	2	30	3
sll0639|88	1	76	2	76	100	1	32.5	4
sll0639|33	1	73	1	73	100	2	32.7	8
sll0639|13	1	71	1	71	100	1	33.6	3
sll0639|70	1	72	2	72	100	1	32.8	11.5
sll0645|8	1	71	1	71	100	2	31.2	8
pxcA|31	1	74	1	74	100	1	32.6	8
pfkA|61	1	72	1	72	100	1	33.2	0
galE2|112	1	72	1	72	100	1	33.1	3
galE2|139	1	75	1	73	97.3333	0.973333	32.9	8
hemF|182	1	75	2	74	98.6667	0.986667	31.8	4
hemF|121	1	72	1	72	100	2	30.1	8
slr1771|7	1	72	1	71	98.6111	0.986111	31.3	0
slr1771|60	1	72	5	72	100	1	31.7	3.4
ftsH|170	1	71	2	71	100	5	33.1	4
ssr2153|58	1	72	1	72	100	2	32.9	3
ssr2153|77	1	73	1	73	100	1	32.8	8
slr1077|150	1	71	1	71	100	1	32.9	33
sll1638|53	1	73	1	73	100	1	33.9	8
sll1638|115	1	76	1	76	100	1	31.8	3
sll1638|145	1	72	2	72	100	1	29.1	12
cyaA|217	1	75	1	75	100	1.98667	31.6	23
cyaA|162	1	72	5	71	98.6111	0.986111	33.6	22.2
slr1073|20	1	74	1	74	100	4.98649	31.9	1
slr1079|102	1	76	1	76	100	1	29.6	0
slr1079|24	1	76	1	76	100	1	29.1	8
slr1079|44	1	74	3	72	97.2973	0.972973	32.8	8
