file_name	sgRNA	numreads
Example_S1_L001_R1	hrcA|29	4
Example_S1_L001_R1	hrcA|44	1
Example_S1_L001_R1	sll1040|58	4
Example_S1_L001_R1	slr0731|58	2
Example_S1_L001_R1	slr0731|43	3
Example_S1_L001_R1	slr0731|27	1
Example_S1_L001_R1	slr0732|106	1
Example_S1_L001_R1	slr0732|403	1
Example_S1_L001_R1	slr0734|40	1
Example_S1_L001_R1	slr0734|109	1
Example_S1_L001_R1	slr0244|43	1
Example_S1_L001_R1	slr0244|117	1
Example_S1_L001_R1	slr0252|55	1
Example_S1_L001_R1	slr0252|203	1
Example_S1_L001_R1	slr0245|125	1
Example_S1_L001_R1	slr0245|108	1
Example_S1_L001_R1	sll0710|266	1
Example_S1_L001_R1	sll0710|1235	1
Example_S1_L001_R1	sll0711|77	1
Example_S1_L001_R1	talB|29	1
Example_S1_L001_R1	talB|49	2
Example_S1_L001_R1	talB|14	2
Example_S1_L001_R1	sohA|55	5
Example_S1_L001_R1	sohA|118	3
Example_S1_L001_R1	sohA|16	1
Example_S1_L001_R1	slr1097|7	8
Example_S1_L001_R1	slr1097|44	1
Example_S1_L001_R1	crtX|24	2
Example_S1_L001_R1	crtX|119	7
Example_S1_L001_R1	crtX|49	2
Example_S1_L001_R1	slr1794|41	2
Example_S1_L001_R1	slr1794|79	1
Example_S1_L001_R1	slr1794|61	5
Example_S1_L001_R1	slr1794|160	1
Example_S1_L001_R1	slr1794|127	5
Example_S1_L001_R1	pdxJ|34	1
Example_S1_L001_R1	pdxJ|133	1
Example_S1_L001_R1	pdxJ|19	2
Example_S1_L001_R1	pdxJ|80	3
Example_S1_L001_R1	slr1796|109	1
Example_S1_L001_R1	slr1796|21	1
Example_S1_L001_R1	psbM|85	3
Example_S1_L001_R1	slr0243|214	1
Example_S1_L001_R1	slr0243|130	1
Example_S1_L001_R1	slr0243|163	1
Example_S1_L001_R1	slr0243|230	1
Example_S1_L001_R1	slr0250|109	2
Example_S1_L001_R1	slr1315|6	1
Example_S1_L001_R1	slr1315|23	1
Example_S1_L001_R1	sll1399|117	2
Example_S1_L001_R1	sll1399|31	2
Example_S1_L001_R1	sll1399|46	1
Example_S1_L001_R1	pchR1|257	1
Example_S1_L001_R1	pchR1|271	1
Example_S1_L001_R1	pchR1|34	1
Example_S1_L001_R1	ssl2069|43	1
Example_S1_L001_R1	ssl2069|114	2
Example_S1_L001_R1	cpcF|129	1
Example_S1_L001_R1	cpcF|197	3
Example_S1_L001_R1	cpcF|73	2
Example_S1_L001_R1	bcp|130	1
Example_S1_L001_R1	bcp|27	1
Example_S1_L001_R1	bcp|43	1
Example_S1_L001_R1	bcp|116	1
Example_S1_L001_R1	sll1392|34	1
Example_S1_L001_R1	malQ|119	1
Example_S1_L001_R1	malQ|32	2
Example_S1_L001_R1	slr1593|64	1
Example_S1_L001_R1	slr1592|106	1
Example_S1_L001_R1	slr1592|94	1
Example_S1_L001_R1	slr1592|16	1
Example_S1_L001_R1	slr1592|29	1
Example_S1_L001_R1	slr1591|94	1
Example_S1_L001_R1	slr1591|4	1
Example_S1_L001_R1	slr1591|118	1
Example_S1_L001_R1	slr1597|19	1
